prec_no,block_no,name,kind,pref_name,total_hot_days,mean_hot_days,max_hot_days,years_with_data,coverage,name_norm,amedas_code,kjName,knName,lat,lon,alt
31,1495,青森大谷,a,青森県,2.0,0.2,2.0,10,1.0,青森大谷,31386,青森大谷,アオモリオオタニ：青森空港,40.733333333333334,140.68833333333333,198
35,1292,大井沢,a,山形県,2.0,0.2,2.0,10,1.0,大井沢,35361,大井沢,オオイサワ,38.39,139.99333333333334,440
74,47898,清水,s,高知県,2.0,0.2,1.0,10,1.0,清水,74516,清水,シミズ,32.721666666666664,133.01,31
36,1634,古殿,a,福島県,2.0,0.3333333333333333,2.0,6,0.6,古殿,,,,,,
36,1466,玉川,a,福島県,2.0,0.2,1.0,10,1.0,玉川,36581,玉川,タマカワ：福島空港,37.22666666666667,140.42666666666668,372
44,1506,三宅坪田,a,東京都,2.0,0.2,2.0,10,1.0,三宅坪田,44228,三宅坪田,ミヤケツボタ：三宅島空港,34.07333333333333,139.56,20
11,0005,歌登,a,宗谷地方,2.0,0.2,1.0,10,1.0,歌登,11316,歌登,ウタノボリ,44.84166666666667,142.48,14
91,1596,宮城島,a,沖縄県,2.0,0.2,1.0,10,1.0,宮城島,91166,宮城島,ミヤギジマ,26.363333333333333,127.97166666666666,100
19,0093,標茶,a,釧路地方,2.0,0.2,1.0,10,1.0,標茶,19151,標茶,シベチャ,43.291666666666664,144.58666666666667,20
17,1073,西興部,a,網走・北見・紋別地方,2.0,0.2,1.0,10,1.0,西興部,17091,西興部,ニシオコッペ,44.33166666666666,142.935,120
12,1201,中川,a,上川地方,2.0,0.2,2.0,10,1.0,中川,12011,中川,ナカガワ,44.82833333333333,142.07666666666665,22
88,0899,尾之間,a,鹿児島県,2.0,0.2,2.0,10,1.0,尾之間,88706,尾之間,オノアイダ,30.235,130.555,60
88,0935,牧之原,a,鹿児島県,2.0,0.2,1.0,10,1.0,牧之原,88286,牧之原,マキノハラ,31.661666666666665,130.84333333333333,387
68,47740,西郷,s,島根県,2.0,0.2,1.0,10,1.0,西郷,68022,西郷,サイゴウ,36.20333333333333,133.33333333333334,27
88,0980,古仁屋,a,鹿児島県,2.0,0.2,2.0,10,1.0,古仁屋,88901,古仁屋,コニヤ,28.143333333333334,129.315,2
18,0085,標津,a,根室地方,2.0,0.2,2.0,10,1.0,標津,18136,標津,シベツ,43.66166666666667,145.13166666666666,3
17,47405,雄武,s,網走・北見・紋別地方,2.0,0.2,1.0,10,1.0,雄武,17036,雄武,オウム,44.58,142.96333333333334,14
88,1139,伊仙,a,鹿児島県,2.0,0.2,2.0,10,1.0,伊仙,88956,伊仙,イセン,27.676666666666666,128.97333333333333,44
19,1187,弟子屈,a,釧路地方,2.0,0.2,1.0,10,1.0,弟子屈,19051,弟子屈,テシカガ,43.51,144.46666666666667,170
14,1085,石狩,a,石狩地方,2.0,0.2,2.0,10,1.0,石狩,14121,石狩,イシカリ,43.193333333333335,141.37,5
91,1517,北大東,a,沖縄県,2.0,0.2,2.0,10,1.0,北大東,92006,北大東,キタダイトウ：北大東空港,25.943333333333335,131.32666666666665,22
91,1494,志多阿原,a,沖縄県,2.0,0.4,1.0,5,0.5,志多阿原,,,,,,
88,47836,屋久島,s,鹿児島県,2.0,0.2,1.0,10,1.0,屋久島,88686,屋久島,ヤクシマ：屋久島空港,30.385,130.65833333333333,37
67,0947,高野,a,広島県,1.0,0.1,1.0,10,1.0,高野,67016,高野,タカノ,35.03333333333333,132.90166666666667,570
54,0543,津南,a,新潟県,1.0,0.1,1.0,10,1.0,津南,54836,津南,ツナン,36.99666666666667,138.68333333333334,452
63,0977,兎和野高原,a,兵庫県,1.0,0.1,1.0,10,1.0,兎和野高原,63071,兎和野高原,ウワノコウゲン,35.431666666666665,134.58333333333334,540
54,0998,関山,a,新潟県,1.0,0.1,1.0,10,1.0,関山,54816,関山,セキヤマ,36.93333333333333,138.22166666666666,350
65,47778,潮岬,s,和歌山県,1.0,0.1,1.0,10,1.0,潮岬,65356,潮岬,シオノミサキ,33.45,135.75666666666666,68
50,47655,御前崎,s,静岡県,1.0,0.1,1.0,10,1.0,御前崎,50551,御前崎,オマエザキ,34.60333333333333,138.21333333333334,45
17,0981,宇登呂,a,網走・北見・紋別地方,1.0,0.1,1.0,10,1.0,宇登呂,17351,宇登呂,ウトロ,44.05166666666667,144.98166666666665,144
91,1145,伊原間,a,沖縄県,1.0,0.1,1.0,10,1.0,伊原間,94001,伊原間,イバルマ,24.506666666666668,124.28,11
91,0909,糸数,a,沖縄県,1.0,0.1,1.0,10,1.0,糸数,91241,糸数,イトカズ,26.153333333333332,127.765,186
88,47837,種子島,s,鹿児島県,1.0,0.1,1.0,10,1.0,種子島,88612,種子島,タネガシマ,30.72,130.98166666666665,25
15,1674,秩父別,a,空知地方,1.0,0.25,1.0,4,0.4,秩父別,15156,秩父別,チップベツ,43.78,141.96166666666667,51
45,47648,銚子,s,千葉県,1.0,0.1,1.0,10,1.0,銚子,45148,銚子,チョウシ,35.73833333333333,140.85666666666665,20
16,0051,美国,a,後志地方,1.0,0.1,1.0,10,1.0,美国,16026,美国,ビクニ,43.27166666666667,140.56333333333333,75
16,0054,共和,a,後志地方,1.0,0.1,1.0,10,1.0,共和,16156,共和,キョウワ,42.98,140.60333333333332,15
44,47678,八丈島,s,東京都,1.0,0.1,1.0,10,1.0,八丈島,44263,八丈島,ハチジョウジマ,33.12166666666667,139.77833333333334,151
16,0055,蘭越,a,後志地方,1.0,0.1,1.0,10,1.0,蘭越,16206,蘭越,ランコシ,42.81,140.54166666666666,39
44,47675,大島,s,東京都,1.0,0.1,1.0,10,1.0,大島,44172,大島,オオシマ,34.748333333333335,139.36166666666668,74
33,0211,葛巻,a,岩手県,1.0,0.1,1.0,10,1.0,葛巻,33186,葛巻,クズマキ,40.04,141.45666666666668,418
44,1468,八重見ヶ原,a,東京都,1.0,0.1,1.0,10,1.0,八重見ヶ原,44262,八重見ヶ原,ヤエミガハラ：八丈島空港,33.115,139.785,92
33,0231,遠野,a,岩手県,1.0,0.1,1.0,10,1.0,遠野,33671,遠野,トオノ,39.33833333333333,141.54333333333332,275
16,47411,小樽,s,後志地方,1.0,0.1,1.0,10,1.0,小樽,16091,小樽,オタル,43.181666666666665,141.015,25
84,1478,石田,a,長崎県,1.0,0.1,1.0,10,1.0,石田,84122,石田,イシダ：壱岐空港,33.748333333333335,129.785,12
88,1540,中之島,a,鹿児島県,1.0,0.1,1.0,10,1.0,中之島,88736,中之島,ナカノシマ,29.84,129.86666666666667,220
84,1453,鰐浦,a,長崎県,1.0,0.1,1.0,10,1.0,鰐浦,84012,鰐浦,ワニウラ,34.69833333333333,129.445,63
41,1333,今市,a,栃木県,1.0,0.14285714285714285,1.0,7,0.7,今市,,,,,,
84,1144,芦辺,a,長崎県,1.0,0.1,1.0,10,1.0,芦辺,84121,芦辺,アシベ,33.8,129.72166666666666,97
33,1120,荒屋,a,岩手県,1.0,0.1,1.0,10,1.0,荒屋,33166,荒屋,アラヤ,40.10333333333333,141.05,290
17,1487,紋別小向,a,網走・北見・紋別地方,1.0,0.1,1.0,10,1.0,紋別小向,17116,紋別小向,モンベツコムカイ：紋別空港,44.303333333333335,143.40333333333334,18
40,1635,高萩,a,茨城県,1.0,0.3333333333333333,1.0,3,0.3,高萩,,,,,,
19,0091,阿寒湖畔,a,釧路地方,1.0,0.1,1.0,10,1.0,阿寒湖畔,19076,阿寒湖畔,アカンコハン,43.43666666666667,144.08333333333334,426
19,1186,鶴居,a,釧路地方,1.0,0.1,1.0,10,1.0,鶴居,19191,鶴居,ツルイ,43.23166666666667,144.325,38
