prec_no,block_no,name,kind,pref_name,year,hot_days,flag
11,1573,幌延,a,宗谷地方,2025,,///
11,47401,稚内,s,宗谷地方,2016,0.0,
11,47401,稚内,s,宗谷地方,2017,0.0,
11,47401,稚内,s,宗谷地方,2018,0.0,
11,47401,稚内,s,宗谷地方,2019,0.0,
11,47401,稚内,s,宗谷地方,2020,0.0,
11,47401,稚内,s,宗谷地方,2021,0.0,
11,47401,稚内,s,宗谷地方,2022,0.0,
11,47401,稚内,s,宗谷地方,2023,0.0,
11,47401,稚内,s,宗谷地方,2024,0.0,
11,47401,稚内,s,宗谷地方,2025,0.0,
11,47402,北見枝幸,s,宗谷地方,2016,0.0,
11,47402,北見枝幸,s,宗谷地方,2017,0.0,
11,47402,北見枝幸,s,宗谷地方,2018,0.0,
11,47402,北見枝幸,s,宗谷地方,2019,0.0,
11,47402,北見枝幸,s,宗谷地方,2020,0.0,
11,47402,北見枝幸,s,宗谷地方,2021,0.0,
11,47402,北見枝幸,s,宗谷地方,2022,0.0,
11,47402,北見枝幸,s,宗谷地方,2023,0.0,
11,47402,北見枝幸,s,宗谷地方,2024,0.0,
11,47402,北見枝幸,s,宗谷地方,2025,0.0,
12,0006,美深,a,上川地方,2016,0.0,
12,0006,美深,a,上川地方,2017,0.0,
12,0006,美深,a,上川地方,2018,0.0,
12,0006,美深,a,上川地方,2019,0.0,
12,0006,美深,a,上川地方,2020,0.0,
12,0006,美深,a,上川地方,2021,2.0,
12,0006,美深,a,上川地方,2022,0.0,
12,0006,美深,a,上川地方,2023,1.0,
12,0006,美深,a,上川地方,2024,0.0,
12,0006,美深,a,上川地方,2025,0.0,
12,0008,名寄,a,上川地方,2016,0.0,
12,0008,名寄,a,上川地方,2017,0.0,
12,0008,名寄,a,上川地方,2018,0.0,
12,0008,名寄,a,上川地方,2019,0.0,
12,0008,名寄,a,上川地方,2020,0.0,
12,0008,名寄,a,上川地方,2021,2.0,]
12,0008,名寄,a,上川地方,2022,0.0,
12,0008,名寄,a,上川地方,2023,1.0,
12,0008,名寄,a,上川地方,2024,0.0,
12,0008,名寄,a,上川地方,2025,0.0,
12,0009,西風連,a,上川地方,2016,,///
12,0009,西風連,a,上川地方,2017,,///
12,0009,西風連,a,上川地方,2018,,///
12,0009,西風連,a,上川地方,2019,,///
12,0009,西風連,a,上川地方,2020,,///
12,0009,西風連,a,上川地方,2021,,///
12,0009,西風連,a,上川地方,2022,,///
12,0009,西風連,a,上川地方,2023,,///
12,0009,西風連,a,上川地方,2024,,///
12,0009,西風連,a,上川地方,2025,,///
12,0010,下川,a,上川地方,2016,0.0,
12,0010,下川,a,上川地方,2017,0.0,
12,0010,下川,a,上川地方,2018,0.0,
12,0010,下川,a,上川地方,2019,0.0,
12,0010,下川,a,上川地方,2020,0.0,
12,0010,下川,a,上川地方,2021,3.0,
12,0010,下川,a,上川地方,2022,0.0,
12,0010,下川,a,上川地方,2023,1.0,
12,0010,下川,a,上川地方,2024,0.0,
12,0010,下川,a,上川地方,2025,0.0,
12,0011,士別,a,上川地方,2016,0.0,
12,0011,士別,a,上川地方,2017,0.0,
12,0011,士別,a,上川地方,2018,0.0,
12,0011,士別,a,上川地方,2019,0.0,
12,0011,士別,a,上川地方,2020,0.0,
12,0011,士別,a,上川地方,2021,4.0,
12,0011,士別,a,上川地方,2022,0.0,
12,0011,士別,a,上川地方,2023,0.0,]
12,0011,士別,a,上川地方,2024,0.0,
12,0011,士別,a,上川地方,2025,0.0,
12,0015,上川,a,上川地方,2016,0.0,
12,0015,上川,a,上川地方,2017,0.0,
12,0015,上川,a,上川地方,2018,0.0,
12,0015,上川,a,上川地方,2019,0.0,
12,0015,上川,a,上川地方,2020,0.0,
12,0015,上川,a,上川地方,2021,1.0,
12,0015,上川,a,上川地方,2022,0.0,
12,0015,上川,a,上川地方,2023,0.0,
12,0015,上川,a,上川地方,2024,0.0,
12,0015,上川,a,上川地方,2025,0.0,
12,0017,瑞穂,a,上川地方,2016,,///
12,0017,瑞穂,a,上川地方,2017,,///
12,0017,瑞穂,a,上川地方,2018,,///
12,0017,瑞穂,a,上川地方,2019,,///
12,0017,瑞穂,a,上川地方,2020,,///
12,0017,瑞穂,a,上川地方,2021,,///
12,0017,瑞穂,a,上川地方,2022,,///
12,0017,瑞穂,a,上川地方,2023,,///
12,0017,瑞穂,a,上川地方,2024,,///
12,0017,瑞穂,a,上川地方,2025,,///
12,0020,白金,a,上川地方,2016,,///
12,0020,白金,a,上川地方,2017,,///
12,0020,白金,a,上川地方,2018,,///
12,0020,白金,a,上川地方,2019,,///
12,0020,白金,a,上川地方,2020,,///
12,0020,白金,a,上川地方,2021,,///
12,0020,白金,a,上川地方,2022,,///
12,0020,白金,a,上川地方,2023,,///
12,0020,白金,a,上川地方,2024,,///
12,0020,白金,a,上川地方,2025,,///
12,0021,富良野,a,上川地方,2016,0.0,
12,0021,富良野,a,上川地方,2017,0.0,
12,0021,富良野,a,上川地方,2018,2.0,
12,0021,富良野,a,上川地方,2019,2.0,
12,0021,富良野,a,上川地方,2020,0.0,
12,0021,富良野,a,上川地方,2021,7.0,
12,0021,富良野,a,上川地方,2022,0.0,
12,0021,富良野,a,上川地方,2023,3.0,
12,0021,富良野,a,上川地方,2024,1.0,
12,0021,富良野,a,上川地方,2025,2.0,
12,1047,朝日,a,上川地方,2016,0.0,
12,1047,朝日,a,上川地方,2017,0.0,
12,1047,朝日,a,上川地方,2018,1.0,
12,1047,朝日,a,上川地方,2019,0.0,
12,1047,朝日,a,上川地方,2020,0.0,
